Road Type,Speed Limit,Lanes,Coordinates
unclassified,25 mph,Unknown,"[53037287, 7264298760, 7264298757, 8793974538, 53125755, 7305730747, 8793974545, 4941805159, 53006269, 5448982908, 53108137]"
tertiary,35 mph,Unknown,"[311934562, 311934563, 311934564, 311934565, 311934566, 311934567, 311934568, 311934570, 53125858, 5448477359, 4664813782, 53077755]"
tertiary,Unknown,5,"[4169708751, 6974430932, 9601968405, 2396964710, 5459782495, 5459782492, 2396964727, 8889472333]"
tertiary,Unknown,Unknown,"[6974430967, 712663504, 712663507, 53077815]"
secondary,Unknown,Unknown,"[414541624, 414540043]"
unclassified,Unknown,Unknown,"[53069731, 4664813768, 5448592100, 53126762]"
residential,Unknown,Unknown,"[53127221, 1234594555, 1059024683, 1059025099, 53085045, 1059024861, 1059025049, 53108654, 1059024808, 1059024634, 295992638, 53069763, 5459782491, 5459782487, 712652130, 53114506, 712652132, 712663398]"
residential,Unknown,Unknown,"[53016835, 9649634962, 53128965, 712656003, 2396964735, 712656017, 2396964737, 712656026, 712654109, 4603992456, 53085199, 712654283, 11082655485, 2396964732, 53128967, 53128969, 53128971, 712656380, 4603992094, 53069766, 5459782511, 2396964721, 5459782509, 5448982805, 4323495490, 53128973, 53128975, 11463465938]"
living_street,Unknown,Unknown,"[2066727917, 2066727902, 53130033]"
secondary,Unknown,4,"[53125446, 4595671506, 1747133960, 1747133992, 2389145812, 1747134012, 4595671495, 53131007, 4595671493, 6952950523, 4595670881, 53085274, 4595670878, 4930036270, 4595670869, 53026610]"
secondary,Unknown,3,"[53098281, 2389216067, 1747134013, 1747133983, 283261749, 1747133974]"
residential,Unknown,Unknown,"[53132985, 53132987]"
unclassified,Unknown,Unknown,"[53043163, 1234594437, 5459609732, 53043157]"
residential,Unknown,Unknown,"[53137350, 53137351]"
residential,Unknown,Unknown,"[53036897, 53137539]"
residential,Unknown,2,"[53112463, 1234578867, 1234578948, 1234578908, 53138776, 53022904, 1235345678, 53078361, 1235345659, 1235345656, 53029650, 1235345688, 1235345683, 53046117, 1235345706, 1235345691, 1234559806, 1235346569]"
residential,Unknown,Unknown,"[53047581, 4941789228, 291487477, 1234578911, 53140584, 1234578951, 291487470, 53125758]"
residential,Unknown,Unknown,"[53141139, 53141141]"
unclassified,15 mph,2,"[53081644, 8778130018, 11082655408, 2066705582, 1059024941, 2066705819, 1059024782, 9610415177, 5454505890, 2066706132, 2066705770, 5454505887, 2066706179, 53142973, 712662001]"
residential,Unknown,Unknown,"[53143006, 53143007, 310980172]"
residential,Unknown,Unknown,"[53114491, 10050236141, 283267102, 283267103, 53077725]"
residential,Unknown,Unknown,"[53114487, 283267105, 2169800194, 2169800196, 2169800198, 283267104, 2169800201, 2169800202, 2169800203, 53077778]"
residential,Unknown,Unknown,"[53112459, 8573685319, 8573673112, 53047577, 53025270, 1234578916, 1234578824, 1234578922, 1234578924, 53073222, 53073234, 1234578930, 11278331453, 1234578884, 1234578890, 53145801, 1234578931, 1234578865, 1234578835, 53145803, 1234578927, 9649634957, 53037279]"
unclassified,Unknown,Unknown,"[53043922, 53092612, 3681680391, 2119952771, 7544397025, 2119952744, 2119952830, 8793974483, 7544397017, 4411716579, 2119952548, 2119952742, 2119952793]"
tertiary,Unknown,3,"[53125446, 1747133959, 53098281, 9057520757, 1747133951, 4595671515, 1747133980, 283261750, 9057512430, 1747133988, 1747134015, 1747134006, 9057512420, 53098267, 9057512466, 9057512457, 1747133982, 53055577, 9057512464, 1747133985, 9057512417, 1747133956, 9057512427, 312111396, 9057512437, 1747133962, 9057512447, 53030363, 283261743, 4595671564, 53133389]"
residential,Unknown,Unknown,"[53112130, 4664813727, 10050241361, 10050236171, 53069743, 10050236172, 53114496, 10050236129, 4664813744, 53077734]"
tertiary,Unknown,Unknown,"[53077731, 4664813742, 4595670871, 231248491, 4595670874, 4595671492, 53131007, 4595671497, 4595671514, 2389216066, 2389216064, 53055580, 6239113405, 4595671541]"
residential,Unknown,Unknown,"[53046545, 1239362343, 1239362370, 1239362282, 1239362355, 53146150]"
residential,Unknown,Unknown,"[53146534, 4941952302, 9649634949, 53061097, 9649634953, 3012086880, 9413726403, 53125755]"
residential,Unknown,Unknown,"[53127228, 5459782379, 53126355, 53092434]"
living_street,Unknown,Unknown,"[53039593, 1234610814, 603229330]"
residential,Unknown,Unknown,"[53147635, 53147637]"
residential,Unknown,Unknown,"[53081149, 53039705, 53147803]"
residential,Unknown,2,"[53047568, 1234578834, 53148562, 1234578823, 1234578868, 1234578852, 53148563, 1234578874, 1234578838, 1234578904, 1234578900, 1234578897, 53148566, 53112458, 310694892, 259846402, 53112453, 4386426028, 1234578929, 1234578935, 1234578857, 53148567, 259846397, 1234578869, 1234578905, 8573685329, 1234578889, 8573685320, 1234578864, 53148568, 1234578919, 1234578946, 53148570, 1234578937, 1234578831, 1234578862, 1234578859, 1234578925, 53112465, 53148572, 1234578827, 53148573, 53148574, 53148576, 1234578866, 53148578, 53078362, 1234578909, 1234578941, 1234578936, 53125763]"
residential,Unknown,Unknown,"[53081140, 1239362349, 1239362267, 1239362317, 1239362326, 53149145]"
residential,Unknown,Unknown,"[53149866, 53149867]"
residential,Unknown,Unknown,"[53097719, 53151850]"
unclassified,Unknown,2,"[53153272, 4407400633, 4407400635, 4407400751, 4407400753, 4407400755, 4407400750, 4407400756, 4407400680, 4407400683, 1234559778, 53138779, 11336845652, 4606655161, 11336845650, 4606655164, 11336845651, 53025277]"
unclassified,Unknown,Unknown,"[53025283, 4551993743, 4602430141, 3012100163, 4617057044, 5446603421, 53037293]"
residential,Unknown,Unknown,"[53154871, 53154873]"
residential,Unknown,2,"[53138776, 1235346575, 1235346562, 259846392, 1235346553, 1235346560, 1235346556, 259846390, 1235346564, 259846391, 1235346552, 1235346555, 1235346572, 1235345707, 53148574]"
residential,Unknown,Unknown,"[53092432, 53035803, 53093636, 53036897, 53032615]"
unclassified,Unknown,2,"[53093233, 5446602803, 5446602801, 4941463756, 1234559800, 5039561656, 4941468509, 5505193479, 4941463757, 4941468505, 4941463751, 53153483]"
residential,Unknown,Unknown,"[53086507, 53155881]"
unclassified,Unknown,Unknown,"[53077751, 4919279755, 53004835]"
residential,Unknown,Unknown,"[53146534, 9649634947, 6372881560, 1234559818, 1234559826, 53006266, 1234559803, 1234559825, 53025271]"
residential,Unknown,Unknown,"[53081138, 53156777]"
residential,Unknown,Unknown,"[53154861, 53157587]"
residential,Unknown,Unknown,"[54763573, 595774106, 9980749111, 7358092398, 9980750318, 5435466139, 10247989147, 12145068146, 65324087, 10247989155, 10239373077, 5437055049, 10898480828, 7209002744, 65285622]"
unclassified,Unknown,Unknown,"[65280134, 65280136]"
footway,Unknown,Unknown,"[65281816, 11882271660, 856296920, 5006376195, 65281818, 65281820]"
service,Unknown,Unknown,"[65281824, 856296954, 65281826]"
service,Unknown,Unknown,"[65281835, 65281838]"
motorway_link,50 mph,2,"[65281944, 1792795208, 1792795201, 1792795184, 353151015, 65281942]"
service,Unknown,Unknown,"[65281950, 856296946, 65281952]"
motorway_link,50 mph,2,"[65282779, 1260360848, 353149141, 65282781, 1260360909, 1260360923, 65282783, 65282786]"
motorway_link,50 mph,2,"[65281061, 1792795193, 1792795189, 1260360911, 1260360806, 65281095]"
service,Unknown,Unknown,"[65285129, 7212382897, 7231544094, 856296909, 65285130]"
service,Unknown,Unknown,"[65285175, 7234098492, 65299290]"
service,Unknown,Unknown,"[65285181, 6960850138, 65285183]"
service,Unknown,Unknown,"[1614316115, 7234287769, 2252547627]"
service,Unknown,Unknown,"[65285620, 7209002754, 1270635909]"
motorway_link,50 mph,2,"[65286126, 1260360867, 1260360874, 65286128, 1260360900, 300756917, 300757102]"
service,Unknown,Unknown,"[65286556, 65286560]"
residential,Unknown,1,"[65287137, 4627636304, 7228380511, 4627635288]"
service,Unknown,Unknown,"[65287183, 65287185]"
service,Unknown,Unknown,"[1594265254, 6514737761, 330662141]"
footway,Unknown,Unknown,"[65288571, 856296956, 65288577]"
service,Unknown,Unknown,"[65289026, 65289028]"
service,Unknown,Unknown,"[65290169, 10281649545, 65290171, 10281649546, 65290173]"
service,Unknown,1,"[65290733, 7209511023, 5429899898, 603359881]"
service,Unknown,Unknown,"[65290750, 7233764893, 65290756]"
residential,Unknown,Unknown,"[65290785, 7209002759, 6329528587]"
residential,Unknown,Unknown,"[65290795, 10247963607, 10247963608, 65290798]"
service,Unknown,Unknown,"[65286560, 5437054800]"
service,Unknown,1,"[65291738, 4503467067, 7231084493, 9997256352, 65291741]"
service,Unknown,Unknown,"[65292045, 4503467073, 4904270564, 4904270566, 65292049]"
residential,Unknown,Unknown,"[65292112, 330612031]"
service,Unknown,Unknown,"[65292425, 65292428]"
service,Unknown,Unknown,"[65292432, 7231323813, 1582797215, 65292434]"
service,Unknown,Unknown,"[65293169, 65293173]"
residential,Unknown,Unknown,"[65293433, 12144593726, 10964213478, 5841552080, 65293437]"
service,Unknown,Unknown,"[65293856, 65293858, 65293860]"
